Table 1: Weekly provisional1 figures on deaths registered2 where coronavirus (COVID-19) was mentioned on the death certificate in Scotland,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Week number3,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,,
Week beginning,,30-Dec-19,6-Jan-20,13-Jan-20,20-Jan-20,27-Jan-20,3-Feb-20,10-Feb-20,17-Feb-20,24-Feb-20,2-Mar-20,9-Mar-20,16-Mar-20,23-Mar-20,30-Mar-20,Year to Date,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Deaths involving COVID-194,,0,0,0,0,0,0,0,0,0,0,0,10,62,282,,354
Deaths involving COVID-194 - females,,0,0,0,0,0,0,0,0,0,0,0,5,26,126,,157
Deaths involving COVID-194 - males,,0,0,0,0,0,0,0,0,0,0,0,5,36,156,,197
,,,,,,,,,,,,,,,,,
,Persons ,,,,,,,,,,,,,,,,
,Deaths by age group,,,,,,,,,,,,,,,,
,Under 1 year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
,01-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
,15-44,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,4
,45-64,0,0,0,0,0,0,0,0,0,0,0,1,12,31,,44
,65-74,0,0,0,0,0,0,0,0,0,0,0,4,11,67,,82
,75-84,0,0,0,0,0,0,0,0,0,0,0,3,24,106,,133
,85+,0,0,0,0,0,0,0,0,0,0,0,2,15,74,,91
,,,,,,,,,,,,,,,,,
Females,Under 1 year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
,01-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
,15-44,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,2
,45-64,0,0,0,0,0,0,0,0,0,0,0,1,3,12,,16
,65-74,0,0,0,0,0,0,0,0,0,0,0,3,3,20,,26
,75-84,0,0,0,0,0,0,0,0,0,0,0,0,9,49,,58
,85+,0,0,0,0,0,0,0,0,0,0,0,1,11,43,,55
Males,Under 1 year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
,01-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
,15-44,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,2
,45-64,0,0,0,0,0,0,0,0,0,0,0,0,9,19,,28
,65-74,0,0,0,0,0,0,0,0,0,0,0,1,8,47,,56
,75-84,0,0,0,0,0,0,0,0,0,0,0,3,15,57,,75
,85+,0,0,0,0,0,0,0,0,0,0,0,1,4,31,,36
,,,,,,,,,,,,,,,,,
,Deaths by NHS Board of usual residence 5,,,,,,,,,,,,,,,,
,Ayrshire and Arran,0,0,0,0,0,0,0,0,0,0,0,1,9,17,,27
,Borders,0,0,0,0,0,0,0,0,0,0,0,0,3,13,,16
,Dumfries and Galloway,0,0,0,0,0,0,0,0,0,0,0,0,0,12,,12
,Fife,0,0,0,0,0,0,0,0,0,0,0,2,4,9,,15
,Forth Valley,0,0,0,0,0,0,0,0,0,0,0,0,7,20,,27
,Grampian,0,0,0,0,0,0,0,0,0,0,0,2,3,7,,12
,Greater Glasgow and Clyde,0,0,0,0,0,0,0,0,0,0,0,3,13,106,,122
,Highland,0,0,0,0,0,0,0,0,0,0,0,0,5,11,,16
,Lanarkshire,0,0,0,0,0,0,0,0,0,0,0,0,8,40,,48
,Lothian,0,0,0,0,0,0,0,0,0,0,0,2,7,32,,41
,Orkney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
,Shetland,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1
,Tayside,0,0,0,0,0,0,0,0,0,0,0,0,3,14,,17
,Western Isles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Footnotes,,,,,,,,,,,,,,,,,
1) Figures are provisional and subject to change.,,,,,,,,,,,,,,,,,
"2) Figures are based on date of registration.  In Scotland deaths must be registered within 8 days although in practice, the average time between death and registration is around 3 days.  More information on days between occurrence and registration can be found on the NRS website.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"3) Weeks run from Monday to Sunday and are based on the ISO8601 international standard for week numbering. Note that weeks at the beginning and end of a year can overlap with the previous and subsequent year, so counts may not sum to annual totals published elsewhere.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
4) Deaths where codes U07.1 or U07.2 are mentioned on the death certificate according to the WHO International Statistical Classification of Diseases and Related Health Problems 10th Revision (ICD-10).,,,,,,,,,,,,,,,,,
"5) Figures include non-residents.  Deaths are allocated to Health Board based on the usual residence of the deceased.  If the deceased was not a Scottish resident, the death is allocated to the Health Board where the death occurred.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Source: National Records of Scotland,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
� Crown Copyright 2020,,,,,,,,,,,,,,,,,
