Table 1: Weekly provisional1 figures on deaths registered2 where coronavirus (COVID-19) was mentioned on the death certificate in Scotland,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Week number3,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,,
Week beginning,,30-Dec-19,6-Jan-20,13-Jan-20,20-Jan-20,27-Jan-20,3-Feb-20,10-Feb-20,17-Feb-20,24-Feb-20,2-Mar-20,9-Mar-20,16-Mar-20,23-Mar-20,30-Mar-20,6-Apr-20,Year to Date,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Deaths involving COVID-194,,0,0,0,0,0,0,0,0,0,0,0,10,62,282,608,,962
Deaths involving COVID-194 - females,,0,0,0,0,0,0,0,0,0,0,0,5,26,126,261,,418
Deaths involving COVID-194 - males,,0,0,0,0,0,0,0,0,0,0,0,5,36,156,347,,544
,,,,,,,,,,,,,,,,,,
,Persons ,,,,,,,,,,,,,,,,,
,Deaths by age group,,,,,,,,,,,,,,,,,
,Under 1 year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
,01-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
,15-44,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,,8
,45-64,0,0,0,0,0,0,0,0,0,0,0,1,12,31,64,,108
,65-74,0,0,0,0,0,0,0,0,0,0,0,4,11,67,101,,183
,75-84,0,0,0,0,0,0,0,0,0,0,0,3,24,106,226,,359
,85+,0,0,0,0,0,0,0,0,0,0,0,2,15,74,213,,304
,,,,,,,,,,,,,,,,,,
Females,Under 1 year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
,01-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
,15-44,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,4
,45-64,0,0,0,0,0,0,0,0,0,0,0,1,3,12,18,,34
,65-74,0,0,0,0,0,0,0,0,0,0,0,3,3,20,33,,59
,75-84,0,0,0,0,0,0,0,0,0,0,0,0,9,49,95,,153
,85+,0,0,0,0,0,0,0,0,0,0,0,1,11,43,113,,168
Males,Under 1 year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
,01-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
,15-44,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,4
,45-64,0,0,0,0,0,0,0,0,0,0,0,0,9,19,46,,74
,65-74,0,0,0,0,0,0,0,0,0,0,0,1,8,47,68,,124
,75-84,0,0,0,0,0,0,0,0,0,0,0,3,15,57,131,,206
,85+,0,0,0,0,0,0,0,0,0,0,0,1,4,31,100,,136
,,,,,,,,,,,,,,,,,,
,Deaths by NHS Board of usual residence 5,,,,,,,,,,,,,,,,,
,Ayrshire and Arran,0,0,0,0,0,0,0,0,0,0,0,1,9,17,40,,67
,Borders,0,0,0,0,0,0,0,0,0,0,0,0,3,13,14,,30
,Dumfries and Galloway,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,,21
,Fife,0,0,0,0,0,0,0,0,0,0,0,2,4,9,31,,46
,Forth Valley,0,0,0,0,0,0,0,0,0,0,0,0,7,20,32,,59
,Grampian,0,0,0,0,0,0,0,0,0,0,0,2,3,7,35,,47
,Greater Glasgow and Clyde,0,0,0,0,0,0,0,0,0,0,0,3,13,106,193,,315
,Highland,0,0,0,0,0,0,0,0,0,0,0,0,5,11,13,,29
,Lanarkshire,0,0,0,0,0,0,0,0,0,0,0,0,8,40,90,,138
,Lothian,0,0,0,0,0,0,0,0,0,0,0,2,7,32,107,,148
,Orkney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,2
,Shetland,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,,5
,Tayside,0,0,0,0,0,0,0,0,0,0,0,0,3,14,38,,55
,Western Isles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Footnotes,,,,,,,,,,,,,,,,,,
1) Figures are provisional and subject to change.,,,,,,,,,,,,,,,,,,
"2) Figures are based on date of registration.  In Scotland deaths must be registered within 8 days although in practice, the average time between death and registration is around 3 days.  More information on days between occurrence and registration can be found on the NRS website.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"3) Weeks run from Monday to Sunday and are based on the ISO8601 international standard for week numbering. Note that weeks at the beginning and end of a year can overlap with the previous and subsequent year, so counts may not sum to annual totals published elsewhere.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
4) Deaths where codes U07.1 or U07.2 are mentioned on the death certificate according to the WHO International Statistical Classification of Diseases and Related Health Problems 10th Revision (ICD-10).,,,,,,,,,,,,,,,,,,
"5) Figures include non-residents.  Deaths are allocated to Health Board based on the usual residence of the deceased.  If the deceased was not a Scottish resident, the death is allocated to the Health Board where the death occurred.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"6) Other institutions include clinics, medical centres, prisons and schools.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Source: National Records of Scotland,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
� Crown Copyright 2020,,,,,,,,,,,,,,,,,,
