Table 1: Weekly provisional1 figures on deaths registered2 where coronavirus (COVID-19) was mentioned on the death certificate in Scotland,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Week number3,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,,
Week beginning,,30-Dec-19,6-Jan-20,13-Jan-20,20-Jan-20,27-Jan-20,3-Feb-20,10-Feb-20,17-Feb-20,24-Feb-20,2-Mar-20,9-Mar-20,16-Mar-20,23-Mar-20,30-Mar-20,6-Apr-20,13-Apr-20,20-Apr-20,27-Apr-20,4-May-20,Year to Date,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Deaths involving COVID-194,,0,0,0,0,0,0,0,0,0,0,0,10,62,282,610,650,659,525,415,,3213
Deaths involving COVID-194 - females,,0,0,0,0,0,0,0,0,0,0,0,5,26,127,262,310,346,278,222,,1576
Deaths involving COVID-194 - males,,0,0,0,0,0,0,0,0,0,0,0,5,36,155,348,340,313,247,193,,1637
,,,,,,,,,,,,,,,,,,,,,,
,Persons ,,,,,,,,,,,,,,,,,,,,,
,Deaths by age group,,,,,,,,,,,,,,,,,,,,,
,Under 1 year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
,01-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
,15-44,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,7,2,2,,21
,45-64,0,0,0,0,0,0,0,0,0,0,0,1,12,30,64,46,53,38,35,,279
,65-74,0,0,0,0,0,0,0,0,0,0,0,4,11,67,101,81,99,73,50,,486
,75-84,0,0,0,0,0,0,0,0,0,0,0,3,24,107,228,222,226,143,145,,1098
,85+,0,0,0,0,0,0,0,0,0,0,0,2,15,74,213,299,274,269,183,,1329
,,,,,,,,,,,,,,,,,,,,,,
Females,Under 1 year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
,01-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
,15-44,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,3,2,1,,11
,45-64,0,0,0,0,0,0,0,0,0,0,0,1,3,12,17,16,17,12,16,,94
,65-74,0,0,0,0,0,0,0,0,0,0,0,3,3,20,33,32,43,25,20,,179
,75-84,0,0,0,0,0,0,0,0,0,0,0,0,9,50,97,93,105,66,67,,487
,85+,0,0,0,0,0,0,0,0,0,0,0,1,11,43,113,168,178,173,118,,805
Males,Under 1 year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
,01-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
,15-44,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,4,0,1,,10
,45-64,0,0,0,0,0,0,0,0,0,0,0,0,9,18,47,30,36,26,19,,185
,65-74,0,0,0,0,0,0,0,0,0,0,0,1,8,47,68,49,56,48,30,,307
,75-84,0,0,0,0,0,0,0,0,0,0,0,3,15,57,131,129,121,77,78,,611
,85+,0,0,0,0,0,0,0,0,0,0,0,1,4,31,100,131,96,96,65,,524
,,,,,,,,,,,,,,,,,,,,,,
,Deaths by NHS Board of usual residence 5,,,,,,,,,,,,,,,,,,,,,
,Ayrshire and Arran,0,0,0,0,0,0,0,0,0,0,0,1,9,17,40,51,39,35,28,,220
,Borders,0,0,0,0,0,0,0,0,0,0,0,0,3,13,15,7,3,4,3,,48
,Dumfries and Galloway,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,10,3,6,6,,46
,Fife,0,0,0,0,0,0,0,0,0,0,0,2,4,9,31,39,33,25,19,,162
,Forth Valley,0,0,0,0,0,0,0,0,0,0,0,0,7,20,32,31,34,32,31,,187
,Grampian,0,0,0,0,0,0,0,0,0,0,0,2,3,6,35,43,40,30,28,,187
,Greater Glasgow and Clyde,0,0,0,0,0,0,0,0,0,0,0,3,13,107,193,197,230,169,126,,1038
,Highland,0,0,0,0,0,0,0,0,0,0,0,0,5,11,13,21,22,16,9,,97
,Lanarkshire,0,0,0,0,0,0,0,0,0,0,0,0,8,40,90,90,83,74,51,,436
,Lothian,0,0,0,0,0,0,0,0,0,0,0,2,7,32,108,109,113,99,81,,551
,Orkney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,,2
,Shetland,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,1,0,,7
,Tayside,0,0,0,0,0,0,0,0,0,0,0,0,3,14,38,51,59,34,33,,232
,Western Isles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
,,,,,,,,,,,,,,,,,,,,,,
,Deaths by Council Area of usual residence5,,,,,,,,,,,,,,,,,,,,,
,Aberdeen City,0,0,0,0,0,0,0,0,0,0,0,1,0,2,12,18,15,15,15,,78
,Aberdeenshire,0,0,0,0,0,0,0,0,0,0,0,1,1,4,21,25,23,13,11,,99
,Angus,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,12,19,7,5,,54
