Table 1: Weekly provisional1 figures on deaths registered2 where coronavirus (COVID-19) was mentioned on the death certificate in Scotland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week number3,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,
Week beginning,,30-Dec-19,6-Jan-20,13-Jan-20,20-Jan-20,27-Jan-20,3-Feb-20,10-Feb-20,17-Feb-20,24-Feb-20,2-Mar-20,9-Mar-20,16-Mar-20,23-Mar-20,30-Mar-20,6-Apr-20,13-Apr-20,20-Apr-20,27-Apr-20,4-May-20,11-May-20,18-May-20,25-May-20,1-Jun-20,8-Jun-20,15-Jun-20,22-Jun-20,29-Jun-20,6-Jul-20,13-Jul-20,20-Jul-20,Year to Date,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deaths involving COVID-194,,0,0,0,0,0,0,0,0,0,0,0,11,62,282,609,650,661,527,415,336,230,131,89,69,49,35,18,13,6,8,,4201
Deaths involving COVID-194 - females,,0,0,0,0,0,0,0,0,0,0,0,5,26,127,261,310,346,279,221,181,123,69,46,43,30,19,10,8,4,5,,2113
Deaths involving COVID-194 - males,,0,0,0,0,0,0,0,0,0,0,0,6,36,155,348,340,315,248,194,155,107,62,43,26,19,16,8,5,2,3,,2088
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Persons ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deaths by age group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Under 1 year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
,01-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
,15-44,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,7,2,2,2,0,1,2,1,0,0,1,0,0,0,,28
,45-64,0,0,0,0,0,0,0,0,0,0,0,1,12,30,64,46,54,38,35,25,12,9,9,2,3,3,2,0,0,1,,346
,65-74,0,0,0,0,0,0,0,0,0,0,0,5,11,67,100,81,99,74,50,47,23,16,10,6,4,4,1,2,0,0,,600
,75-84,0,0,0,0,0,0,0,0,0,0,0,3,24,107,228,222,227,144,145,93,71,45,25,24,16,12,7,4,4,5,,1406
,85+,0,0,0,0,0,0,0,0,0,0,0,2,15,74,213,299,274,269,183,169,124,60,43,36,26,16,7,7,2,2,,1821
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Females,Under 1 year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
,01-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
,15-44,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,3,2,1,0,0,1,0,1,0,0,1,0,0,0,,14
,45-64,0,0,0,0,0,0,0,0,0,0,0,1,3,12,17,16,17,12,16,10,5,5,2,0,2,0,0,0,0,1,,119
,65-74,0,0,0,0,0,0,0,0,0,0,0,3,3,20,32,32,43,26,20,21,4,8,6,2,4,0,1,2,0,0,,227
,75-84,0,0,0,0,0,0,0,0,0,0,0,0,9,50,97,93,105,66,66,42,41,20,11,12,9,7,2,1,2,2,,635
,85+,0,0,0,0,0,0,0,0,0,0,0,1,11,43,113,168,178,173,118,108,73,35,27,28,15,12,6,5,2,2,,1118
Males,Under 1 year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
,01-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
,15-44,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,4,0,1,2,0,0,2,0,0,0,0,0,0,0,,14
,45-64,0,0,0,0,0,0,0,0,0,0,0,0,9,18,47,30,37,26,19,15,7,4,7,2,1,3,2,0,0,0,,227
,65-74,0,0,0,0,0,0,0,0,0,0,0,2,8,47,68,49,56,48,30,26,19,8,4,4,0,4,0,0,0,0,,373
,75-84,0,0,0,0,0,0,0,0,0,0,0,3,15,57,131,129,122,78,79,51,30,25,14,12,7,5,5,3,2,3,,771
,85+,0,0,0,0,0,0,0,0,0,0,0,1,4,31,100,131,96,96,65,61,51,25,16,8,11,4,1,2,0,0,,703
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deaths by NHS Board of usual residence 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ayrshire and Arran,0,0,0,0,0,0,0,0,0,0,0,1,9,17,40,51,39,35,28,21,21,14,6,6,4,1,0,0,0,1,,294
,Borders,0,0,0,0,0,0,0,0,0,0,0,0,3,13,15,7,3,4,3,6,4,4,6,3,1,0,1,1,0,0,,74
,Dumfries and Galloway,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,10,3,6,6,1,0,0,0,0,0,0,0,0,0,0,,47
,Fife,0,0,0,0,0,0,0,0,0,0,0,2,4,9,31,39,33,25,19,15,4,8,3,3,2,3,0,1,0,2,,203
,Forth Valley,0,0,0,0,0,0,0,0,0,0,0,0,7,20,32,31,34,32,31,17,12,3,4,6,4,3,1,0,2,0,,239
,Grampian,0,0,0,0,0,0,0,0,0,0,0,2,3,6,35,43,40,30,28,27,17,9,5,6,4,3,0,1,1,0,,260
,Greater Glasgow and Clyde,0,0,0,0,0,0,0,0,0,0,0,3,13,107,193,197,231,171,126,118,75,30,21,17,15,8,4,1,0,3,,1333
,Highland,0,0,0,0,0,0,0,0,0,0,0,1,5,11,13,21,22,16,9,6,4,4,2,0,0,0,0,1,0,0,,115
,Lanarkshire,0,0,0,0,0,0,0,0,0,0,0,0,8,40,90,90,83,74,51,46,30,22,18,8,8,11,2,1,1,2,,585
,Lothian,0,0,0,0,0,0,0,0,0,0,0,2,7,32,108,109,114,99,81,54,44,24,15,11,9,4,7,5,2,0,,727
,Orkney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2
,Shetland,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,7
,Tayside,0,0,0,0,0,0,0,0,0,0,0,0,3,14,37,51,59,34,33,25,19,13,9,9,2,2,3,2,0,0,,315
,Western Isles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deaths by Council Area of usual residence5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aberdeen City,0,0,0,0,0,0,0,0,0,0,0,1,0,2,12,18,15,15,15,16,13,3,5,5,1,1,0,0,1,0,,123
,Aberdeenshire,0,0,0,0,0,0,0,0,0,0,0,1,1,4,21,25,23,13,11,8,3,1,0,0,3,2,0,1,0,0,,117
,Angus,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,12,19,7,5,5,3,4,6,3,1,0,1,0,0,0,,76
,Argyll and Bute,0,0,0,0,0,0,0,0,0,0,0,0,5,4,7,12,14,13,3,1,2,3,0,0,0,0,0,0,0,0,,64
,City of Edinburgh,0,0,0,0,0,0,0,0,0,0,0,1,3,17,61,64,72,61,43,39,26,13,8,6,6,2,1,3,1,0,,427
,Clackmannanshire,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,4,4,11,9,6,2,0,0,2,2,0,1,0,0,0,,48
,Dumfries and Galloway,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,10,3,6,6,1,0,0,0,0,0,0,0,0,0,0,,47
,Dundee City,0,0,0,0,0,0,0,0,0,0,0,0,0,8,21,29,27,22,17,12,13,8,3,4,1,1,2,1,0,0,,169
,East Ayrshire,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,12,11,10,12,4,3,2,2,3,0,0,0,0,0,0,,75
,East Dunbartonshire,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,12,18,20,22,16,18,6,6,2,0,1,0,0,0,0,,137
,East Lothian,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21,21,15,5,7,3,2,1,1,2,0,0,1,0,1,0,,82
,East Renfrewshire,0,0,0,0,0,0,0,0,0,0,0,0,1,5,15,14,13,10,20,11,5,1,3,1,1,0,0,0,0,0,,100
,Falkirk,0,0,0,0,0,0,0,0,0,0,0,0,6,6,17,16,25,16,17,9,8,3,3,3,2,3,0,0,2,0,,136
,Fife,0,0,0,0,0,0,0,0,0,0,0,2,4,9,31,39,33,25,19,15,4,8,3,3,2,3,0,1,0,2,,203
,Glasgow City,0,0,0,0,0,0,0,0,0,0,0,1,7,46,97,95,124,85,58,59,32,13,5,10,9,3,2,1,0,1,,648
,Highland,0,0,0,0,0,0,0,0,0,0,0,1,0,7,6,9,8,3,6,5,2,1,2,0,0,0,0,1,0,0,,51
,Inverclyde,0,0,0,0,0,0,0,0,0,0,0,0,3,18,29,26,17,6,4,3,3,1,2,0,2,2,0,0,0,2,,118
,Midlothian,0,0,0,0,0,0,0,0,0,0,0,0,2,5,11,16,15,27,18,9,7,4,2,0,1,0,1,0,0,0,,118
,Moray,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,2,2,3,1,5,0,1,0,0,0,0,0,0,,20
