Table 1: Weekly provisional1 figures on deaths registered2 where coronavirus (COVID-19) was mentioned on the death certificate in Scotland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week number3,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,,
Week beginning,,30-Dec-19,6-Jan-20,13-Jan-20,20-Jan-20,27-Jan-20,3-Feb-20,10-Feb-20,17-Feb-20,24-Feb-20,2-Mar-20,9-Mar-20,16-Mar-20,23-Mar-20,30-Mar-20,6-Apr-20,13-Apr-20,20-Apr-20,27-Apr-20,4-May-20,11-May-20,18-May-20,25-May-20,1-Jun-20,8-Jun-20,15-Jun-20,22-Jun-20,29-Jun-20,6-Jul-20,13-Jul-20,20-Jul-20,27-Jul-20,3-Aug-20,10-Aug-20,17-Aug-20,24-Aug-20,31-Aug-20,7-Sep-20,14-Sep-20,21-Sep-20,28-Sep-20,5-Oct-20,12-Oct-20,19-Oct-20,26-Oct-20,2-Nov-20,9-Nov-20,16-Nov-20,23-Nov-20,30-Nov-20,7-Dec-20,Year to Date,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deaths involving COVID-194,,0,0,0,0,0,0,0,0,0,0,0,11,62,282,609,650,662,527,415,336,230,131,89,68,49,35,19,13,6,8,6,5,3,6,7,2,5,11,10,20,25,76,106,168,207,279,246,252,232,224,,6092
Deaths involving COVID-194 - females,,0,0,0,0,0,0,0,0,0,0,0,5,26,127,261,310,346,279,221,181,123,69,46,42,30,19,11,8,4,5,4,5,2,4,3,2,1,5,3,9,11,32,45,70,103,119,120,119,105,109,,2984
Deaths involving COVID-194 - males,,0,0,0,0,0,0,0,0,0,0,0,6,36,155,348,340,316,248,194,155,107,62,43,26,19,16,8,5,2,3,2,0,1,2,4,0,4,6,7,11,14,44,61,98,104,160,126,133,127,115,,3108
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Persons ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deaths by age group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Under 1 year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
,01-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
,15-44,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,7,2,2,2,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,1,2,2,2,0,,40
